Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Caleb Houstan,SF,21,ORL,35,7,16.0,1.6,4.2,.378,1.4,3.9,.355,0.2,0.3,.700,.544,0.5,0.6,.773,0.6,1.1,1.7,0.7,0.3,0.0,0.4,1.3,5.1
Jett Howard,SF,20,ORL,11,0,3.8,0.6,1.7,.368,0.4,1.3,.286,0.3,0.5,.600,.474,0.2,0.4,.500,0.1,0.4,0.5,0.3,0.0,0.1,0.2,0.1,1.8
Kevin Huerter,SG,25,SAC,40,35,23.9,3.9,8.9,.441,2.0,5.4,.359,2.0,3.4,.569,.551,0.7,0.8,.818,0.5,3.2,3.6,2.6,0.6,0.4,0.6,2.2,10.4
Jay Huff,C,25,DEN,5,0,2.4,0.4,0.8,.500,0.0,0.4,.000,0.4,0.4,1.000,.500,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.6,0.8
De'Andre Hunter,SF,26,ATL,24,24,30.3,5.1,11.0,.460,1.9,4.8,.404,3.2,6.3,.503,.547,2.8,3.1,.907,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3.0,14.9
Bones Hyland,PG,23,LAC,16,2,14.6,2.6,6.7,.393,1.3,3.4,.364,1.4,3.3,.423,.486,0.6,0.8,.833,0.1,0.8,0.9,1.8,0.5,0.1,1.3,1.4,7.1
Joe Ingles,SF,36,ORL,30,0,18.4,1.7,4.1,.411,1.1,2.6,.410,0.6,1.5,.413,.540,0.6,0.7,.850,0.5,2.2,2.6,3.4,0.8,0.1,1.0,1.6,5.0
Brandon Ingram,SF,26,NOP,40,40,33.1,7.9,16.3,.487,1.4,3.9,.353,6.6,12.4,.529,.529,4.2,5.1,.814,0.6,4.2,4.8,5.7,0.8,0.4,2.4,2.2,21.4
Kyrie Irving,SG,31,DAL,27,27,33.3,9.3,19.6,.472,2.9,7.0,.411,6.4,12.6,.506,.545,3.8,4.2,.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2
Jonathan Isaac,PF,26,ORL,26,0,13.5,2.2,4.7,.455,0.6,2.0,.283,1.6,2.7,.586,.516,1.3,1.6,.786,1.1,2.8,3.9,0.4,0.8,1.1,0.5,1.2,6.2
Jaden Ivey,SG,21,DET,40,24,26.5,5.0,11.1,.451,1.3,4.0,.317,3.7,7.1,.528,.509,3.0,4.1,.732,1.3,2.4,3.7,3.7,0.8,0.6,2.3,2.8,14.3
Andre Jackson Jr.,SG,22,MIL,38,8,11.4,1.1,2.0,.545,0.3,0.9,.371,0.8,1.1,.690,.630,0.2,0.2,.889,0.9,1.3,2.2,0.9,0.3,0.1,0.5,1.9,2.8
Gregory Jackson II,PF,19,MEM,12,0,13.5,2.4,5.0,.483,1.3,2.7,.500,1.1,2.3,.464,.617,1.3,1.9,.696,0.8,2.0,2.8,0.5,0.3,0.5,0.6,1.1,7.5
Isaiah Jackson,C,22,IND,34,1,13.6,2.8,4.2,.669,0.0,0.1,.000,2.8,4.1,.679,.669,1.3,1.9,.688,1.5,2.6,4.1,0.9,0.6,1.2,0.7,2.8,6.9
Jaren Jackson Jr.,C,24,MEM,42,42,31.6,7.4,16.4,.451,1.8,5.5,.328,5.6,11.0,.512,.505,5.0,6.1,.831,1.3,4.4,5.6,1.9,1.0,1.6,2.1,3.5,21.6
Reggie Jackson,PG,33,DEN,45,14,23.1,4.6,9.7,.470,1.4,3.6,.378,3.2,6.0,.526,.541,0.9,1.2,.750,0.4,1.7,2.0,4.1,0.6,0.2,1.5,1.8,11.4
Trayce Jackson-Davis,PF,23,GSW,31,3,14.5,2.9,4.3,.682,0.0,0.0,,2.9,4.3,.682,.682,1.1,1.9,.576,1.7,2.6,4.4,1.0,0.4,0.9,0.7,1.7,6.9
LeBron James,PF,39,LAL,40,40,34.3,9.3,17.8,.520,2.2,5.5,.391,7.1,12.3,.577,.580,4.1,5.6,.740,0.9,6.3,7.2,7.4,1.3,0.6,3.4,1.1,24.8
Jaime Jaquez Jr.,SF,22,MIA,39,15,30.2,5.4,10.6,.513,1.1,3.0,.353,4.4,7.6,.576,.563,2.1,2.5,.837,1.3,2.6,3.9,2.7,1.1,0.3,1.7,2.5,14.0
DaQuan Jeffries,SG,26,NYK,10,0,3.0,0.5,1.2,.417,0.1,0.5,.200,0.4,0.7,.571,.458,0.0,0.2,.000,0.0,0.5,0.5,0.2,0.0,0.0,0.1,0.2,1.1
Trey Jemison,C,24,WAS,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
Isaiah Joe,SG,24,OKC,44,0,19.2,3.1,6.6,.462,2.1,5.0,.429,0.9,1.7,.562,.623,0.7,0.8,.833,0.4,2.0,2.4,1.2,0.6,0.3,0.6,1.2,9.0
Cameron Johnson,PF,27,BRK,35,35,28.5,5.2,11.5,.453,2.5,6.2,.399,2.7,5.3,.516,.561,1.1,1.6,.714,1.2,3.5,4.6,2.6,0.7,0.2,0.9,1.9,14.0
Jalen Johnson,SF,22,ATL,30,27,32.5,6.0,11.1,.541,1.2,3.2,.365,4.8,7.9,.612,.593,1.9,2.6,.734,1.2,7.0,8.2,3.1,1.3,0.8,2.0,2.4,15.1
James Johnson,PF,36,IND,5,0,4.8,0.4,1.0,.400,0.0,0.2,.000,0.4,0.8,.500,.400,0.0,0.0,,0.2,0.6,0.8,1.0,0.8,0.0,0.4,0.8,0.8
Keldon Johnson,SF,24,SAS,42,26,30.7,6.0,13.4,.448,1.8,5.3,.339,4.2,8.1,.519,.515,2.9,3.7,.781,1.2,4.4,5.7,3.4,0.8,0.2,1.7,2.4,16.7
Keon Johnson,SG,21,BRK,1,0,21.0,3.0,8.0,.375,2.0,4.0,.500,1.0,4.0,.250,.500,4.0,4.0,1.000,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
Keyontae Johnson,SF,23,OKC,4,0,8.3,0.5,2.0,.250,0.0,0.3,.000,0.5,1.8,.286,.250,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,0.8,0.5,1.0
Nikola Jokić,C,28,DEN,44,44,33.6,10.2,17.3,.590,1.0,2.9,.362,9.2,14.5,.635,.620,4.7,5.7,.825,3.0,9.0,12.0,9.1,1.1,0.9,2.8,2.6,26.2
Colby Jones,SG,21,SAC,15,0,7.3,1.1,2.8,.381,0.1,0.9,.077,1.0,1.9,.517,.393,0.1,0.2,.667,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1.0,2.3
Damian Jones,C,28,CLE,19,0,5.9,0.7,1.3,.560,0.1,0.3,.333,0.6,1.0,.632,.600,0.3,0.3,.833,0.2,0.7,0.9,0.3,0.2,0.2,0.3,0.6,1.8
Derrick Jones Jr.,SF,26,DAL,42,41,26.0,3.8,7.8,.485,1.4,4.0,.349,2.4,3.8,.629,.575,1.3,1.8,.737,1.2,2.5,3.7,1.0,0.8,0.9,1.0,1.9,10.3
Herbert Jones,SF,25,NOP,41,41,28.7,3.9,7.8,.492,1.3,3.4,.396,2.5,4.4,.566,.578,1.9,2.2,.856,1.1,2.5,3.7,2.5,1.2,1.0,1.2,2.8,10.9
Tre Jones,PG,24,SAS,39,10,25.3,3.7,7.5,.498,0.6,2.2,.264,3.2,5.3,.597,.538,1.4,1.5,.898,0.7,2.5,3.2,5.5,0.9,0.1,1.4,1.3,9.4
Tyus Jones,PG,27,WAS,43,43,28.3,5.2,10.2,.507,1.6,3.7,.416,3.6,6.4,.560,.583,0.5,0.7,.733,0.3,2.5,2.9,6.0,1.2,0.3,0.8,0.7,12.4
DeAndre Jordan,C,35,DEN,21,1,12.5,1.8,2.8,.655,0.0,0.0,,1.8,2.8,.655,.655,1.0,2.2,.435,1.7,3.2,4.9,0.9,0.2,0.5,0.9,1.9,4.6
Cory Joseph,PG,32,GSW,22,0,11.1,0.7,2.3,.314,0.4,1.5,.242,0.4,0.8,.444,.392,0.2,0.3,.571,0.2,0.8,1.0,1.7,0.2,0.1,0.5,0.9,2.0
Nikola Jović,PF,20,MIA,17,12,18.2,2.1,5.2,.409,1.1,2.5,.419,1.1,2.6,.400,.511,0.6,1.2,.550,0.9,3.8,4.6,2.1,0.4,0.4,1.0,2.2,5.9
Johnny Juzang,SG,22,UTA,1,0,4.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Luke Kennard,SG,27,MEM,20,8,24.4,3.5,8.0,.431,2.6,6.1,.426,0.9,1.9,.447,.594,0.9,1.0,.895,0.4,2.7,3.1,3.0,0.5,0.1,0.9,1.0,10.4
Walker Kessler,C,22,UTA,37,13,24.0,3.8,5.8,.648,0.1,0.4,.250,3.7,5.4,.680,.657,0.8,1.6,.483,2.6,5.1,7.6,0.8,0.5,2.7,1.0,2.1,8.5
Braxton Key,SF,26,DEN,13,0,3.4,0.4,1.1,.357,0.1,0.3,.250,0.3,0.8,.400,.393,0.3,0.4,.800,0.2,0.6,0.8,0.6,0.2,0.0,0.1,0.3,1.2
Corey Kispert,SF,24,WAS,42,1,21.6,4.0,8.4,.479,1.9,5.2,.369,2.1,3.2,.657,.593,1.5,1.9,.775,0.3,1.9,2.2,1.5,0.3,0.2,1.0,1.5,11.4
Maxi Kleber,C,32,DAL,10,2,19.0,1.2,3.4,.353,0.5,2.0,.250,0.7,1.4,.500,.426,0.9,1.3,.692,0.8,2.6,3.4,1.8,0.2,0.7,0.9,2.3,3.8
Kevin Knox,SF,24,DET,26,9,18.6,3.0,6.3,.470,1.2,3.3,.353,1.8,3.0,.595,.561,0.7,0.7,.895,0.6,1.9,2.5,0.7,0.4,0.3,0.6,1.6,7.7
John Konchar,SF,27,MEM,35,6,17.5,1.3,3.3,.386,0.6,2.0,.290,0.7,1.3,.533,.474,0.3,0.3,.750,1.1,2.9,4.0,1.6,0.7,0.9,0.5,1.1,3.3
Furkan Korkmaz,SG,26,PHI,27,0,6.9,0.6,1.7,.362,0.2,0.8,.273,0.4,0.9,.440,.426,0.3,0.4,.700,0.0,0.5,0.6,0.5,0.4,0.0,0.3,0.4,1.7
Luke Kornet,C,28,BOS,31,2,14.9,2.1,3.0,.691,0.0,0.0,,2.1,3.0,.691,.691,0.7,0.8,.875,1.8,2.0,3.8,0.9,0.4,1.0,0.5,1.4,4.9
Jonathan Kuminga,PF,21,GSW,40,15,23.3,5.2,9.9,.526,0.8,2.5,.307,4.5,7.4,.601,.565,2.7,3.8,.709,1.1,3.3,4.4,1.5,0.6,0.4,1.4,2.1,13.9
Kyle Kuzma,PF,28,WAS,43,43,31.3,8.4,18.5,.455,2.3,6.7,.344,6.1,11.8,.519,.518,2.6,3.2,.791,1.0,5.5,6.6,4.4,0.4,0.6,2.7,2.1,21.7
Jock Landale,C,28,HOU,25,0,9.1,0.8,2.2,.382,0.1,0.7,.118,0.8,1.5,.500,.400,0.4,0.6,.733,1.1,0.8,1.9,0.5,0.2,0.4,0.4,0.9,2.2
Jake LaRavia,PF,22,MEM,11,0,11.1,1.5,3.9,.372,0.5,2.2,.208,1.0,1.7,.579,.430,0.3,0.4,.750,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6
Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
A.J. Lawson,SG,23,DAL,20,0,9.7,1.6,3.5,.464,0.6,1.8,.343,1.0,1.7,.588,.551,0.6,0.8,.733,0.5,0.9,1.3,0.6,0.5,0.1,0.5,0.7,4.4
Saben Lee,PG,24,PHO,11,0,6.8,0.8,1.9,.429,0.0,0.5,.000,0.8,1.5,.563,.429,1.2,1.5,.765,0.5,0.6,1.1,1.1,0.3,0.3,0.5,0.5,2.8
Alex Len,C,30,SAC,17,0,8.8,1.1,1.7,.621,0.0,0.1,.000,1.1,1.6,.667,.621,0.2,0.6,.400,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4
Kawhi Leonard,SF,32,LAC,38,38,34.7,8.8,16.9,.522,2.2,5.1,.443,6.6,11.9,.555,.588,3.8,4.3,.879,1.1,5.1,6.2,3.8,1.7,0.8,1.6,1.6,23.7
Caris LeVert,SG,29,CLE,32,1,28.8,5.7,13.5,.422,1.9,5.6,.344,3.8,7.8,.478,.494,2.4,3.3,.743,0.5,3.1,3.6,4.1,1.0,0.4,1.6,1.6,15.8
Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,.308,0.1,1.3,.100,0.9,2.1,.438,.327,0.7,0.7,.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9
Maxwell Lewis,SF,21,LAL,15,0,4.1,0.1,0.7,.200,0.1,0.2,.333,0.1,0.5,.143,.250,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.1,0.3
E.J. Liddell,PF,23,NOP,6,0,2.8,0.2,0.8,.200,0.0,0.7,.000,0.2,0.2,1.000,.200,0.3,0.3,1.000,0.0,0.5,0.5,0.2,0.0,0.3,0.3,0.3,0.7
Damian Lillard,PG,33,MIL,41,41,35.2,7.4,17.5,.426,3.0,8.6,.347,4.4,8.8,.503,.512,7.5,8.1,.922,0.5,3.8,4.3,6.8,1.1,0.1,2.4,1.6,25.3
Nassir Little,SF,23,PHO,26,2,14.3,1.8,3.7,.484,0.6,2.0,.308,1.2,1.7,.698,.568,0.7,0.8,.850,0.5,1.8,2.3,0.6,0.4,0.3,0.5,1.2,4.8
Dereck Lively II,C,19,DAL,33,32,25.3,4.0,5.4,.742,0.0,0.1,.000,4.0,5.3,.750,.742,0.8,1.3,.568,2.9,4.8,7.7,1.3,0.6,1.4,1.2,2.9,8.8
Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0
Chris Livingston,SF,20,MIL,12,0,4.8,0.6,1.0,.583,0.1,0.1,1.000,0.5,0.9,.545,.625,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.2,0.0,0.3,0.4,1.4
Kenneth Lofton Jr.,PF,21,TOT,16,0,6.4,0.9,2.4,.359,0.2,0.6,.300,0.7,1.8,.379,.397,0.5,0.9,.533,0.1,0.9,1.1,0.9,0.2,0.2,0.5,0.9,2.4
Kenneth Lofton Jr.,PF,21,MEM,15,0,6.6,0.9,2.5,.378,0.2,0.7,.300,0.7,1.8,.407,.419,0.5,1.0,.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6
Kenneth Lofton Jr.,PF,21,PHI,1,0,4.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Kevon Looney,C,27,GSW,41,35,20.2,2.3,3.8,.617,0.0,0.0,,2.3,3.8,.617,.617,0.9,1.3,.704,2.6,4.5,7.1,2.4,0.5,0.3,0.7,2.5,5.6
Brook Lopez,C,35,MIL,44,44,31.6,4.9,9.9,.490,1.6,4.8,.330,3.3,5.1,.640,.570,1.5,1.8,.815,1.6,3.9,5.5,1.7,0.6,2.9,0.9,2.7,12.8
Robin Lopez,C,35,MIL,12,0,2.8,0.3,0.6,.429,0.2,0.4,.400,0.1,0.2,.500,.571,0.2,0.2,1.000,0.1,0.2,0.3,0.3,0.0,0.1,0.1,0.3,0.8
Kevin Love,PF,35,MIA,34,5,18.3,3.0,6.9,.438,1.6,4.7,.340,1.4,2.2,.649,.554,1.9,2.5,.774,1.1,5.3,6.5,2.4,0.4,0.1,0.8,1.9,9.5
Kyle Lowry,PG,37,MIA,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2
Seth Lundy,SF,23,ATL,9,0,5.8,0.4,1.9,.235,0.3,1.4,.231,0.1,0.4,.250,.324,0.3,0.4,.750,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6
Trey Lyles,PF,28,SAC,28,0,20.3,2.4,5.4,.447,1.5,4.0,.387,0.9,1.4,.615,.590,0.7,1.1,.625,1.0,3.9,4.9,1.3,0.1,0.3,0.6,1.6,7.0
Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2
Sandro Mamukelashvili,C,24,SAS,25,0,7.0,1.0,2.4,.407,0.3,1.3,.250,0.6,1.1,.593,.475,0.5,0.6,.750,0.6,1.4,2.0,1.0,0.2,0.3,0.3,0.8,2.7
Terance Mann,SG,27,LAC,36,32,25.1,2.9,6.4,.450,0.9,3.1,.304,1.9,3.3,.588,.524,0.8,1.1,.750,1.2,2.0,3.2,1.8,0.6,0.3,0.7,1.9,7.6
Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8
Boban Marjanović,C,35,HOU,7,0,5.3,1.0,2.6,.389,0.0,0.3,.000,1.0,2.3,.438,.389,0.0,0.3,.000,0.7,1.4,2.1,0.6,0.0,0.1,0.0,0.6,2.0
Lauri Markkanen,PF,26,UTA,35,35,32.5,7.9,16.0,.490,3.1,7.9,.390,4.8,8.1,.588,.586,4.8,5.5,.876,2.4,6.3,8.7,1.8,0.9,0.6,1.1,1.8,23.6
Naji Marshall,SF,26,NOP,35,1,18.5,2.7,5.9,.454,0.9,2.3,.390,1.7,3.5,.496,.532,1.5,1.8,.825,1.1,2.5,3.6,2.0,0.7,0.2,1.1,1.5,7.7
Caleb Martin,SF,28,MIA,27,12,26.8,4.0,8.9,.454,1.2,3.0,.402,2.8,5.9,.481,.523,1.4,1.8,.755,1.2,3.6,4.8,2.3,0.8,0.3,1.3,2.0,10.7
Cody Martin,SF,28,CHO,12,6,25.9,2.5,7.1,.353,0.9,3.1,.297,1.6,4.0,.396,.418,0.8,1.3,.563,1.1,2.1,3.2,2.5,1.5,0.9,1.1,1.8,6.7
KJ Martin,SF,23,TOT,28,0,7.0,0.8,1.8,.469,0.0,0.3,.125,0.8,1.5,.537,.480,0.2,0.4,.500,0.2,0.6,0.8,0.5,0.4,0.0,0.2,1.0,1.9
KJ Martin,SF,23,LAC,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0
KJ Martin,SF,23,PHI,26,0,6.3,0.7,1.5,.487,0.0,0.1,.000,0.7,1.4,.528,.487,0.2,0.3,.500,0.2,0.5,0.7,0.5,0.3,0.0,0.2,1.0,1.6
Garrison Mathews,SG,27,ATL,30,3,13.0,1.2,2.7,.457,1.1,2.5,.447,0.1,0.2,.600,.667,0.1,0.2,.286,0.2,1.0,1.2,0.5,0.3,0.1,0.5,1.6,3.7
Bennedict Mathurin,SF,21,IND,44,14,25.5,5.0,10.9,.455,1.3,3.5,.361,3.7,7.4,.500,.514,3.0,3.6,.828,1.0,2.7,3.7,2.0,0.5,0.2,1.6,2.0,14.2
Wesley Matthews,SG,37,ATL,19,1,11.2,0.5,2.1,.256,0.3,1.6,.200,0.2,0.5,.444,.333,0.7,1.0,.737,0.2,1.2,1.4,0.6,0.5,0.2,0.3,1.4,2.1
Tyrese Maxey,PG,23,PHI,41,41,37.7,8.9,19.7,.449,3.1,8.2,.379,5.7,11.5,.499,.528,4.9,5.7,.860,0.6,3.1,3.7,6.7,1.0,0.5,1.6,2.1,25.8
Skylar Mays,PG-SG,26,TOT,24,5,15.9,2.5,6.2,.399,0.7,2.1,.314,1.8,4.0,.443,.453,0.5,0.7,.765,0.4,1.2,1.6,3.3,0.7,0.1,0.8,1.0,6.1
Skylar Mays,PG,26,POR,21,5,17.0,2.5,6.6,.384,0.7,2.3,.286,1.9,4.2,.438,.435,0.6,0.8,.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1.0,6.3
Skylar Mays,SG,26,LAL,3,0,8.7,2.0,3.3,.600,0.7,0.7,1.000,1.3,2.7,.500,.700,0.0,0.0,,0.3,0.3,0.7,1.3,0.7,0.0,0.0,1.0,4.7
Miles McBride,PG,23,NYK,31,2,9.5,1.6,3.5,.455,1.0,2.2,.441,0.6,1.4,.476,.591,0.3,0.3,.800,0.1,0.6,0.7,0.9,0.4,0.1,0.3,1.0,4.5
CJ McCollum,PG,32,NOP,30,30,32.0,7.1,15.0,.473,3.6,8.0,.448,3.5,7.0,.502,.593,2.1,2.6,.785,0.6,3.7,4.3,5.0,1.2,0.8,1.5,2.1,19.9
T.J. McConnell,PG,31,IND,36,3,16.8,3.6,6.8,.529,0.1,0.5,.118,3.5,6.3,.559,.533,0.9,1.2,.750,0.5,2.1,2.6,5.4,1.0,0.1,1.5,1.0,8.1
Jaden McDaniels,SF,23,MIN,34,33,28.6,4.5,8.8,.515,1.3,3.4,.377,3.3,5.4,.600,.587,0.7,0.9,.750,0.6,2.0,2.6,1.3,0.9,0.5,1.2,3.1,11.0
Jalen McDaniels,SF,26,TOR,27,0,9.1,1.1,3.3,.337,0.3,1.6,.182,0.8,1.7,.489,.382,0.5,0.7,.700,0.3,1.0,1.2,0.5,0.4,0.1,0.3,0.9,3.0
Doug McDermott,SF,32,SAS,39,0,15.5,2.1,4.7,.449,1.7,3.8,.449,0.4,1.0,.447,.627,0.3,0.4,.667,0.2,0.9,1.1,1.3,0.3,0.1,0.6,1.1,6.2
JaVale McGee,C,36,SAC,33,0,8.2,1.9,3.0,.636,0.0,0.1,.000,1.9,2.9,.656,.636,0.8,1.2,.625,1.0,2.0,3.0,0.4,0.2,0.6,0.9,1.2,4.6
Bryce McGowens,SG,21,CHO,34,10,16.8,1.8,4.0,.444,0.7,1.9,.379,1.0,2.0,.507,.537,0.8,1.1,.730,0.4,1.4,1.7,0.9,0.3,0.1,0.6,1.4,5.1
Jordan McLaughlin,PG,27,MIN,23,0,8.8,0.9,2.3,.389,0.5,1.3,.367,0.4,1.0,.417,.491,0.1,0.3,.500,0.3,0.7,1.0,1.8,0.7,0.2,0.3,0.4,2.4
De'Anthony Melton,SG,25,PHI,33,33,29.1,3.9,9.9,.393,2.1,5.8,.363,1.8,4.1,.437,.500,1.9,2.3,.827,0.8,3.2,4.0,3.2,1.6,0.5,1.2,2.4,11.8
Nathan Mensah,C,25,CHO,18,0,14.1,0.6,1.3,.435,0.0,0.0,,0.6,1.3,.435,.435,0.5,0.7,.750,1.4,1.8,3.2,0.4,0.2,0.6,0.7,3.0,1.6
Sam Merrill,SG,27,CLE,27,0,16.6,3.0,6.9,.428,2.6,6.0,.432,0.4,0.9,.400,.615,0.4,0.4,.909,0.5,1.7,2.2,1.7,0.3,0.0,0.4,1.3,8.9
Chimezie Metu,C,26,PHO,33,5,13.0,1.9,3.8,.512,0.5,1.5,.294,1.5,2.2,.662,.572,1.2,1.3,.884,0.7,2.5,3.2,0.5,0.5,0.3,0.7,1.2,5.5
Vasilije Micić,PG,30,OKC,24,0,11.9,1.3,3.0,.411,0.4,1.5,.250,0.9,1.5,.568,.473,0.4,0.5,.769,0.0,0.7,0.7,2.5,0.4,0.1,0.8,0.9,3.3
Khris Middleton,SF,32,MIL,38,38,25.9,5.7,11.6,.489,1.7,4.5,.374,4.0,7.1,.561,.561,1.9,2.3,.831,0.6,3.6,4.2,4.9,0.9,0.3,2.1,2.3,15.0
Brandon Miller,SF,21,CHO,36,30,30.7,5.6,12.9,.436,2.2,5.6,.388,3.4,7.3,.473,.521,1.7,2.1,.813,0.9,3.1,4.0,2.3,0.7,0.5,1.6,2.6,15.1
Jordan Miller,SF,24,LAC,4,0,4.0,0.8,1.3,.600,0.3,0.3,1.000,0.5,1.0,.500,.700,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.0,0.3,0.5,1.8
Leonard Miller,SF,20,MIN,5,0,3.8,1.2,1.8,.667,0.2,0.6,.333,1.0,1.2,.833,.722,0.0,0.0,,0.0,1.8,1.8,0.2,0.2,0.2,0.2,0.6,2.6
Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5
